"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3752910";"";"None";"503.49";"2";"5.75";"Chemical probe : NVP-BHG712;NVP";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C";"Kd";"'='";"4367.75";"nM";"5.36";"";"";"UO_0000065";"10.65";"0.20";"-0.39";"5.49";"0";"CHEMBL5651363";"Binding affinity to human ENO1 incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"4367.748"
"CHEMBL1232461";"MOLIBRESIB";"2.0";"423.90";"0";"3.66";"I-BET762, GSK525762A";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"FC";"'='";"0.438";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5698192";"Inhibition of ENO1 (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: EFO:0000565 | EFO_TERM: leukemia";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5696440";"72";"Chemical Probe data from Scientific Literature";"Nature";"2011";"None";"DOSE = 2.0 microM | TIME = 1.0 hr";"INHIBITOR";"";"0.438"
"CHEMBL328944";"PHOSPHONOACETOHYDROXAMATE";"None";"155.05";"0";"-1.33";"1; PhAH";"O=C(CP(=O)(O)O)NO";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"47.03";"1.11";"8.62";"6.82";"0";"CHEMBL5107357";"Inhibition of ENO1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104201";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"INHIBITOR";"";"51.0"
"CHEMBL5185604";"";"None";"197.08";"0";"-1.53";"3; SF2312";"O=C1C(P(=O)(O)O)CC(O)N1O";"IC50";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"45.26";"1.02";"10.45";"7.54";"0";"CHEMBL5107357";"Inhibition of ENO1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104201";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"INHIBITOR";"";"1.2"
"CHEMBL5653589";"";"None";"503.49";"2";"5.75";"Chemical probe : NVPiso";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12";"ED50";"'='";"52.99";"nM";"7.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5651363";"Binding affinity to human ENO1 incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"52.989"
"CHEMBL4643988";"";"None";"451.37";"0";"3.16";"VCY15";"CC(=O)ON1CCCC(P(=O)(NCc2ccccc2)OCc2ccc([N+](=O)[O-])o2)C1=O";"IC50";"'='";"5764.0";"nM";"5.24";"";"";"UO_0000065";"11.61";"0.23";"2.08";"3.71";"0";"CHEMBL4621998";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 1 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"5764.0"
"CHEMBL4647387";"";"None";"195.11";"0";"-0.46";"HEX";"O=C1C(P(=O)(O)O)CCCN1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4621992";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"100000.0"
"CHEMBL4647008";"";"None";"423.40";"0";"2.69";"POMHEX";"CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O";"IC50";"'='";"720.0";"nM";"6.14";"";"";"UO_0000065";"14.51";"0.30";"3.45";"4.77";"0";"CHEMBL4621995";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"720.0"
"CHEMBL1232461";"MOLIBRESIB";"2.0";"423.90";"0";"3.66";"I-BET762, GSK525762A";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"FC";"'='";"1.032";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5698892";"Inhibition of ENO1 (unknown origin) assessed as fold change at 0.4 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: EFO:0000565 | EFO_TERM: leukemia";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5696440";"72";"Chemical Probe data from Scientific Literature";"Nature";"2011";"None";"DOSE = 0.4 microM | TIME = 1.0 hr";"INHIBITOR";"";"1.032"
"CHEMBL260046";"EVOFOSFAMIDE";"3.0";"449.04";"0";"1.92";"TH-302";"Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-]";"IC50";"'='";"2554.0";"nM";"5.59";"";"";"UO_0000065";"12.45";"0.36";"3.67";"5.02";"0";"CHEMBL4621995";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"2554.0"
"CHEMBL4294164";"";"None";"806.99";"3";"3.03";"1";"C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C";"Ratio";"'='";"0.811";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4270824";"Binding affinity to alpha-enolase in human Hela cells lysates assessed as protein enrichment by measuring normalized heavy/light ratio at by nano-LC-ESIMS/MS analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270485";"1";"Scientific Literature";"J Nat Prod";"2017";"None";"";"";"";"0.811"
"CHEMBL4647008";"";"None";"423.40";"0";"2.69";"POMHEX";"CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O";"IC50";"'='";"2806.0";"nM";"5.55";"";"";"UO_0000065";"13.11";"0.27";"2.86";"4.31";"0";"CHEMBL4621998";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 1 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"2806.0"
"CHEMBL260046";"EVOFOSFAMIDE";"3.0";"449.04";"0";"1.92";"TH-302";"Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-]";"IC50";"'='";"301.0";"nM";"6.52";"";"";"UO_0000065";"14.52";"0.42";"4.60";"5.86";"0";"CHEMBL4621998";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days in presence of 1 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"301.0"
"CHEMBL4643988";"";"None";"451.37";"0";"3.16";"VCY15";"CC(=O)ON1CCCC(P(=O)(NCc2ccccc2)OCc2ccc([N+](=O)[O-])o2)C1=O";"IC50";"'='";"7840.0";"nM";"5.11";"";"";"UO_0000065";"11.31";"0.22";"1.95";"3.62";"0";"CHEMBL4621999";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days in presence of 1 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"7840.0"
"CHEMBL4633981";"";"None";"398.40";"0";"2.91";"FLM37";"CC(C)(C)C(=O)OCOP(=O)(NCc1ccccc1)C1CCCN(O)C1=O";"IC50";"'='";"3945.0";"nM";"5.40";"";"";"UO_0000065";"13.56";"0.27";"2.49";"5.14";"0";"CHEMBL4621992";"Inhibition of ENO1 in overexpressed human D423 cells incubated for 5 days by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"3945.0"
"CHEMBL3752910";"";"None";"503.49";"2";"5.75";"Chemical probe : NVP-BHG712;NVP";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C";"ED50";"'='";"4367.75";"nM";"5.36";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5651363";"Binding affinity to human ENO1 incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"4367.748"
"CHEMBL4647387";"";"None";"195.11";"0";"-0.46";"HEX";"O=C1C(P(=O)(O)O)CCCN1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4621993";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"100000.0"
"CHEMBL260046";"EVOFOSFAMIDE";"3.0";"449.04";"0";"1.92";"TH-302";"Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-]";"IC50";"'='";"4838.0";"nM";"5.32";"";"";"UO_0000065";"11.84";"0.35";"3.40";"4.77";"0";"CHEMBL4621996";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"4838.0"
"CHEMBL4643988";"";"None";"451.37";"0";"3.16";"VCY15";"CC(=O)ON1CCCC(P(=O)(NCc2ccccc2)OCc2ccc([N+](=O)[O-])o2)C1=O";"IC50";"'='";"21106.0";"nM";"4.68";"";"";"UO_0000065";"10.36";"0.21";"1.52";"3.31";"0";"CHEMBL4621996";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days in presence of 21 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"21106.0"
"CHEMBL260046";"EVOFOSFAMIDE";"3.0";"449.04";"0";"1.92";"TH-302";"Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-]";"IC50";"'='";"897.0";"nM";"6.05";"";"";"UO_0000065";"13.47";"0.39";"4.13";"5.43";"0";"CHEMBL4621999";"Inhibition of ENO1 in wild-type human LN319 cells incubated for 5 days in presence of 1 % oxygen by crystal violet staining based spectrophotometry";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3298";"Alpha-enolase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619798";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";"";"897.0"
